date,cpi,purchasing_power
1961-04-01,29.81,3.354579000335458
1961-05-01,29.84,3.351206434316354
1961-06-01,29.84,3.351206434316354
1961-07-01,29.92,3.3422459893048124
1961-08-01,29.94,3.34001336005344
1961-09-01,29.98,3.33555703802535
1961-10-01,29.98,3.33555703802535
1961-11-01,29.98,3.33555703802535
1961-12-01,30.01,3.3322225924691766
1962-01-01,30.04,3.3288948069241013
1962-02-01,30.11,3.3211557622052474
1962-03-01,30.17,3.3145508783559827
1962-04-01,30.21,3.310162197947699
1962-05-01,30.24,3.306878306878307
1962-06-01,30.21,3.310162197947699
1962-07-01,30.22,3.309066843150232
1962-08-01,30.28,3.3025099075297226
1962-09-01,30.42,3.2873109796186717
1962-10-01,30.38,3.291639236339697
1962-11-01,30.38,3.291639236339697
1962-12-01,30.38,3.291639236339697
1963-01-01,30.44,3.2851511169513796
1963-02-01,30.48,3.2808398950131235
1963-03-01,30.51,3.2776138970829236
1963-04-01,30.48,3.2808398950131235
1963-05-01,30.51,3.2776138970829236
1963-06-01,30.61,3.266906239790918
1963-07-01,30.69,3.258390355164549
1963-08-01,30.75,3.252032520325203
1963-09-01,30.72,3.2552083333333335
1963-10-01,30.75,3.252032520325203
1963-11-01,30.78,3.248862897985705
1963-12-01,30.88,3.238341968911917
1964-01-01,30.94,3.2320620555914674
1964-02-01,30.91,3.2351989647363313
1964-03-01,30.94,3.2320620555914674
1964-04-01,30.95,3.2310177705977385
1964-05-01,30.98,3.2278889606197545
1964-06-01,31.01,3.224766204450177
1964-07-01,31.02,3.223726627981947
1964-08-01,31.05,3.2206119162640903
1964-09-01,31.08,3.217503217503218
1964-10-01,31.12,3.2133676092544987
1964-11-01,31.21,3.2041012495994874
1964-12-01,31.25,3.2
1965-01-01,31.28,3.19693094629156
1965-02-01,31.28,3.19693094629156
1965-03-01,31.31,3.1938677738741617
1965-04-01,31.38,3.186743148502231
1965-05-01,31.48,3.1766200762388817
1965-06-01,31.61,3.1635558367605188
1965-07-01,31.58,3.1665611146295127
1965-08-01,31.55,3.1695721077654517
1965-09-01,31.62,3.1625553447185326
1965-10-01,31.65,3.1595576619273302
1965-11-01,31.75,3.1496062992125986
1965-12-01,31.85,3.139717425431711
1966-01-01,31.88,3.136762860727729
1966-02-01,32.08,3.117206982543641
1966-03-01,32.18,3.107520198881293
1966-04-01,32.28,3.097893432465923
1966-05-01,32.35,3.0911901081916535
1966-06-01,32.38,3.088326127239036
1966-07-01,32.45,3.081664098613251
1966-08-01,32.65,3.0627871362940278
1966-09-01,32.75,3.053435114503817
1966-10-01,32.85,3.0441400304414
1966-11-01,32.88,3.041362530413625
1966-12-01,32.92,3.0376670716889427
1967-01-01,32.9,3.0395136778115504
1967-02-01,33.0,3.0303030303030303
1967-03-01,33.0,3.0303030303030303
1967-04-01,33.1,3.021148036253776
1967-05-01,33.1,3.021148036253776
1967-06-01,33.3,3.0030030030030033
1967-07-01,33.4,2.9940119760479043
1967-08-01,33.5,2.985074626865672
1967-09-01,33.6,2.9761904761904763
1967-10-01,33.7,2.9673590504451037
1967-11-01,33.9,2.9498525073746316
1967-12-01,34.0,2.9411764705882355
1968-01-01,34.1,2.932551319648094
1968-02-01,34.2,2.923976608187134
1968-03-01,34.3,2.915451895043732
1968-04-01,34.4,2.906976744186047
1968-05-01,34.5,2.898550724637681
1968-06-01,34.7,2.881844380403458
1968-07-01,34.9,2.865329512893983
1968-08-01,35.0,2.857142857142857
1968-09-01,35.1,2.849002849002849
1968-10-01,35.3,2.8328611898017
1968-11-01,35.4,2.824858757062147
1968-12-01,35.6,2.8089887640449436
1969-01-01,35.7,2.8011204481792715
1969-02-01,35.8,2.7932960893854752
1969-03-01,36.1,2.7700831024930745
1969-04-01,36.3,2.7548209366391188
1969-05-01,36.4,2.7472527472527473
1969-06-01,36.6,2.73224043715847
1969-07-01,36.8,2.717391304347826
1969-08-01,36.9,2.710027100271003
1969-09-01,37.1,2.6954177897574123
1969-10-01,37.3,2.680965147453083
1969-11-01,37.5,2.6666666666666665
1969-12-01,37.7,2.652519893899204
1970-01-01,37.9,2.638522427440633
1970-02-01,38.1,2.6246719160104988
1970-03-01,38.3,2.6109660574412534
1970-04-01,38.5,2.5974025974025974
1970-05-01,38.6,2.5906735751295336
1970-06-01,38.8,2.577319587628866
1970-07-01,38.9,2.570694087403599
1970-08-01,39.0,2.5641025641025643
1970-09-01,39.2,2.5510204081632653
1970-10-01,39.4,2.5380710659898478
1970-11-01,39.6,2.525252525252525
1970-12-01,39.8,2.512562814070352
1971-01-01,39.9,2.5062656641604013
1971-02-01,39.9,2.5062656641604013
1971-03-01,40.0,2.5
1971-04-01,40.1,2.493765586034913
1971-05-01,40.3,2.481389578163772
1971-06-01,40.5,2.4691358024691357
1971-07-01,40.6,2.4630541871921183
1971-08-01,40.7,2.457002457002457
1971-09-01,40.8,2.450980392156863
1971-10-01,40.9,2.444987775061125
1971-11-01,41.0,2.4390243902439024
1971-12-01,41.1,2.4330900243309004
1972-01-01,41.2,2.4271844660194173
