DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,TRANSACTION,INSTR_ASSET,EXPENDITURE,UNIT_MEASURE,VALUATION,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,CONSOLIDATION,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2018,41103.48,_Z,P,,F,2,A,6,ISK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,JPN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,6397500,_Z,P,,F,2,A,6,JPY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,509167,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,24373.74,_Z,P,,F,2,A,6,ISK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,JPN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,6399600,_Z,P,,F,2,A,6,JPY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,KOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,13596200,_Z,P,,F,2,A,6,KRW
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,NOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,23222,_Z,P,,F,2,A,6,NOK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,POL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,32746,_Z,P,,F,2,A,6,PLN
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DNK,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,18604.53,_Z,P,,F,2,A,6,DKK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,13108.001,_Z,P,,F,2,A,6,ILS
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CRI,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2021,958780.433,_Z,P,,F,2,A,6,CRC
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,COL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2021,27083486.72,_Z,P,,F,2,A,6,COP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,COL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,12625080,_Z,P,,F,2,A,6,COP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2006,19948,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2008,23068,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,27768,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2021,47309,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CHE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,9884.8,_Z,P,,F,2,A,6,CHF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CHE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2004,7827.72,_Z,P,,F,2,A,6,CHF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CHE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2002,7372.91,_Z,P,,F,2,A,6,CHF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CHE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2017,11335.25,_Z,P,,F,2,A,6,CHF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CHE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,12085.39,_Z,P,,F,2,A,6,CHF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUS,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,44592,_Z,P,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,COL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,23797003.86,_Z,P,,F,2,A,6,COP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CRI,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,942765.227,_Z,P,,F,2,A,6,CRC
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,NOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,44230,_Z,P,,F,2,A,6,NOK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,POL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,54544.94,_Z,P,,F,2,A,6,PLN
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DNK,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,23178.1,_Z,P,,F,2,A,6,DKK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CZE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,121753,_Z,P,,F,2,A,6,CZK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,69481,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,446793.193,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ROU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,25627.8,_Z,P,,F,2,A,6,RON
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GBR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,43297,_Z,P,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,23503.39,_Z,P,,F,2,A,6,ILS
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,46814.37,_Z,P,,F,2,A,6,ISK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,KOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,26226900,_Z,P,,F,2,A,6,KRW
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,JPN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,6964400,_Z,P,,F,2,A,6,JPY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2020,1032147.42,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SVN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,664.03,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SVK,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,1738.92,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,FRA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,32291.5,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DEU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,39344,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GRC,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,4237,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,FIN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,2534,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,EST,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,331.9,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,LTU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,494.95,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,IRL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,2963.4,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ITA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,30861,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,LVA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,388.18,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,LUX,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,381.32,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,NLD,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,12514,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,PRT,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2009,3607.68,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,EST,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2015,366.8,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,EST,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,364,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,FIN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,1995,1372,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GRC,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,1995,867,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GRC,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2016,3794,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HRV,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2007,984.62,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HRV,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2017,999.73,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HRV,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,1036.35,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUT,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,4239.7,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,AUT,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2021,5668.68,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,BEL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2021,8528.2,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,BEL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,7075.5,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ITA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,28678,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ITA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2018,32503,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,IRL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,2359.56,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,IRL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2018,3259.37,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,FRA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,1995,18026.8,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,FRA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2016,36710.9,_Z,P,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SVN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2004,506.19,_Z,P,,F,2,A,6,EUR
