DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,AGE,SEX,SOCIO_ECON_STATUS,DEATH_CAUSE,CALC_METHODOLOGY,GESTATION_THRESHOLD,HEALTH_STATUS,DISEASE,CANCER_SITE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,OBS_STATUS2,OBS_STATUS3,UNIT_MULT
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2018,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2019,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2020,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2021,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2009,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2014,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2015,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2019,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2020,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2021,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),KOR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2022,0.4,1,,,,0
